YEAR,ANDHRA PRADESH,ARUNACHAL PRADESH,ASSAM,BIHAR,GOA,GUJARAT,HARYANA,HIMACHAL PRADESH,JAMMU & KASHMIR,JHARKHAND,KARNATAKA,KERALA,MADHYA PRADESH,CHHATTISGARH,MAHARASHTRA,MANIPUR,MEGHALAYA,MIZORAM,NAGALAND,ORISSA,PUNJAB,RAJASTHAN,SIKKIM,TAMIL NADU,TRIPURA,UTTAR PRADESH,UTTARAKHAND,WEST BENGAL,ANDAMAN & NICOBAR ISLANDS,CHANDIGARH,DELHI,PUDUCHERRY,TELANGANA
1999,157959.0282155,4408.6501819,74435.9503949,94977.9376033,14515.7588342,200739.9423666,100163.6545538,27580.9832642,36669.9467727,74522.4047969,274427.4957297,144328.1163228,155240.7546512,64589.7993398,476829.1587527,6889.7608901,7691.5762989,2674.6228515,3920.3951591,100841.8528370,126658.1642127,180113.0796702,2246.6141488,273325.5874045,6682.7279719,344049.9205989,27384.9056941,239574.6553299,1247.3883961,6386.5236375,121464.2128381,6198.7413920,
2000,171092.8680057,4732.5990931,76319.4629319,110614.8384025,13778.2436187,187486.1300255,108123.1615110,29339.7770153,37710.4595607,65731.2805286,276258.3865464,147974.0130992,142623.6373679,60612.5415617,462181.6751331,6448.9468047,8197.0022095,2775.1583203,4584.3088220,98181.5544719,130869.8138609,174260.9950852,2390.5149244,288498.4181227,7101.8848420,351084.1089774,30799.7571684,247972.2633412,1247.3883961,7198.3127707,126215.9735435,7081.5210164,
2001,178850.9966259,5489.4615492,78289.0124612,104271.4311831,14312.4860893,202722.5912177,116474.1890178,30835.3047836,38436.6507774,70259.9668104,281266.0548067,155366.9508850,152826.3020635,69095.3713323,478508.6139339,6850.1109459,8745.5450225,2949.6727192,5110.0323108,104158.6907790,132574.7758189,194104.6611551,2587.2772093,282908.7883863,8075.4584233,357471.0467097,32261.1667241,265880.2771468,1275.6704719,7829.8914532,131069.7950434,7561.4788705,
2002,182922.1475852,5227.3574301,83032.6736654,117457.1421273,15182.9104071,220397.2332726,123614.6773118,32337.4695094,40393.0315924,72227.2458811,296352.7163877,166735.0922528,144856.4718406,67927.6614533,511507.1640366,6812.7933513,9004.2464365,3234.2070651,5619.2330613,103410.2356615,134832.8663829,170786.1680972,2781.1027437,284324.4625843,8615.0114157,369038.1836814,35281.9027236,275199.4805728,1411.1267297,8816.8384078,141114.4760151,8311.4130174,
2003,200842.5423211,5795.7405197,88141.4107563,109882.9860909,16222.7286791,257104.4366173,135775.0939499,34503.3299903,42468.6378311,77692.7317203,302124.2662471,177541.0598597,161105.9514238,80688.4817088,551012.7797041,7556.8128923,9564.7661668,3338.5363252,5876.0865373,118510.6459277,143252.0223939,225127.9942080,3001.3590328,302043.2235134,9120.3778548,388468.8674867,38072.5340360,291369.4648514,1559.9797602,9775.1537954,148804.6381958,8684.2374219,
2004,215454.7026830,6543.7680055,91168.9827601,123786.1184561,17958.3651932,272449.3578123,147482.6165469,37777.5623823,44761.0175673,90933.6538866,332758.3433893,194267.4933930,166392.1069122,85009.8210522,599027.6349564,8256.5177897,10228.2873859,3488.3910807,6158.4751541,133986.5968318,150374.3300627,219623.1494967,3236.2990745,337921.4310494,9868.0229104,407921.4919919,43080.9828650,310686.6401106,1619.5209724,10773.8902186,164908.8821451,7499.3414697,161790.0415709
2005,227456.6990491,6734.0710334,93914.5985394,120702.7833210,19456.8425138,311996.5449489,160805.9553307,41021.5488591,46834.3043584,86858.7727437,366993.4895299,214150.7366373,174775.7442430,86399.6783214,685815.5488720,8801.3263572,11028.0069994,3746.6913504,6799.8632352,139934.2737927,157746.8313787,234376.8327693,3560.8199939,386683.3228327,10518.4553818,431731.0483276,49189.0541775,330249.3539621,1705.9924916,11951.6754777,181895.7369604,9498.9731529,187776.1779824
2006,251347.1421205,7098.0915163,98155.9186976,141591.8828573,21365.0863158,338383.4783698,179089.4675824,44249.1525372,49569.3553770,88314.3261633,405152.1452699,231069.2215745,190707.9783514,102834.7538568,780279.6914051,8954.0341808,11859.0216548,3914.5109314,7331.0079476,157355.6063099,174759.6699571,261962.6382181,3770.5401784,447233.0158785,11424.1979081,466023.3283118,55116.2983736,356170.7914031,2012.7271365,13718.0489852,204478.7109158,9855.5489551,208478.0615525
2007,282692.2057365,7949.9495315,102351.8869595,148922.2741187,22295.4240708,378395.6474308,193107.6941953,46999.7471168,52630.6396764,107985.9699481,455993.4845757,251692.2406281,199720.2561209,111148.2041749,871095.9483975,9446.3258928,12232.1027094,4344.4250397,7927.0264239,170849.5885002,189894.1594683,273898.8027250,3989.2014778,475248.2853010,12178.1096452,495889.8633084,64750.7207447,383881.2012807,2219.6540410,14730.1234699,227528.5811961,10634.7231820,229693.2189788
2008,289918.0574615,8603.6427930,108448.3450808,171625.4704850,24046.9088996,394570.3757990,207976.1043076,49294.6021030,55926.4637485,103643.8360002,488433.5425002,267167.5888867,224970.9800584,118439.1841165,884778.7476540,10137.7798874,13804.0838897,4996.5430889,8430.6244935,183688.6257070,200421.2722428,296930.5963142,4511.5781706,500383.6189228,13463.4049867,533571.8096457,71643.1429636,399354.6414195,2557.8247728,15838.2549904,255870.0905104,11610.3709591,260994.8059207
2009,309549.0583031,9317.6229699,118440.3320592,179834.9465579,26318.1355858,450323.9227272,233961.2315570,51967.4470910,58635.1689627,113916.5552988,488554.9250672,291324.5256403,246296.5721929,121728.8046057,970265.1970352,10832.4803132,14691.2925775,5570.6971385,8908.0276935,185167.8378527,213223.6778484,314237.3713139,7837.8614503,552763.7099191,14841.5985462,566760.9860888,83903.4340797,430366.1837455,2887.2702753,16659.4612426,276906.2527123,13703.2180624,261702.8578216
