country,state,district,year,dyid,hardnesstotal,SDP,GinniIndex
India,West Bengal,24 Paraganas North,2000,24 Paraganas North2000,261.76471,247972.2633412,-
India,West Bengal,24 Paraganas North,2001,24 Paraganas North2001,,265880.2771468,-
India,West Bengal,24 Paraganas North,2002,24 Paraganas North2002,342.5,275199.4805728,-
India,West Bengal,24 Paraganas North,2003,24 Paraganas North2003,,291369.4648514,-
India,West Bengal,24 Paraganas North,2004,24 Paraganas North2004,280.56,310686.6401106,-
India,West Bengal,24 Paraganas North,2005,24 Paraganas North2005,201.94595,330249.3539621,-
India,West Bengal,24 Paraganas North,2006,24 Paraganas North2006,,356170.7914031,-
India,West Bengal,24 Paraganas North,2007,24 Paraganas North2007,278.625,383881.2012807,-
India,West Bengal,24 Paraganas North,2008,24 Paraganas North2008,400,399354.6414195,-
India,West Bengal,24 Paraganas North,2009,24 Paraganas North2009,,430366.1837455,-
India,West Bengal,24 Paraganas North,2010,24 Paraganas North2010,,456461.6610105,
India,West Bengal,24 Paraganas North,2011,24 Paraganas North2011,,473204.6511180,-
India,West Bengal,24 Paraganas North,2012,24 Paraganas North2012,,492901.1663710,-
India,West Bengal,24 Paraganas North,2013,24 Paraganas North2013,,503951.5671410,-
India,West Bengal,24 Paraganas North,2014,24 Paraganas North2014,,515701.6028970,-
India,West Bengal,24 Paraganas North,2015,24 Paraganas North2015,,546988.0508630,-
India,West Bengal,24 Paraganas North,2016,24 Paraganas North2016,259.46667,584910.8272820,-
India,West Bengal,24 Paraganas North,2017,24 Paraganas North2017,188.1282,623786.8220410,-
India,West Bengal,24 Paraganas North,2018,24 Paraganas North2018,198.75,659287.8942470,-
India,West Bengal,24 Paraganas South,2000,24 Paraganas South2000,270.32257,247972.2633412,-
India,West Bengal,24 Paraganas South,2001,24 Paraganas South2001,256.8421,265880.2771468,-
India,West Bengal,24 Paraganas South,2002,24 Paraganas South2002,278.02942,275199.4805728,-
India,West Bengal,24 Paraganas South,2003,24 Paraganas South2003,,291369.4648514,-
India,West Bengal,24 Paraganas South,2004,24 Paraganas South2004,206.36363,310686.6401106,-
India,West Bengal,24 Paraganas South,2005,24 Paraganas South2005,216.88571,330249.3539621,-
India,West Bengal,24 Paraganas South,2006,24 Paraganas South2006,,356170.7914031,-
India,West Bengal,24 Paraganas South,2007,24 Paraganas South2007,245.76923,383881.2012807,-
India,West Bengal,24 Paraganas South,2008,24 Paraganas South2008,,399354.6414195,-
India,West Bengal,24 Paraganas South,2009,24 Paraganas South2009,245.42857,430366.1837455,-
India,West Bengal,24 Paraganas South,2010,24 Paraganas South2010,197.70833,456461.6610105,0.29
India,West Bengal,24 Paraganas South,2011,24 Paraganas South2011,226.8,473204.6511180,-
India,West Bengal,24 Paraganas South,2012,24 Paraganas South2012,183.80769,492901.1663710,-
India,West Bengal,24 Paraganas South,2013,24 Paraganas South2013,224.54546,503951.5671410,-
India,West Bengal,24 Paraganas South,2014,24 Paraganas South2014,,515701.6028970,-
India,West Bengal,24 Paraganas South,2015,24 Paraganas South2015,,546988.0508630,-
India,West Bengal,24 Paraganas South,2016,24 Paraganas South2016,259.42856,584910.8272820,-
India,West Bengal,24 Paraganas South,2017,24 Paraganas South2017,186.01852,623786.8220410,-
India,West Bengal,24 Paraganas South,2018,24 Paraganas South2018,299.11111,659287.8942470,-
India,Telangana,Adilabad,2000,Adilabad2000,302.5,,-
India,Telangana,Adilabad,2001,Adilabad2001,,,-
India,Telangana,Adilabad,2002,Adilabad2002,,,-
India,Telangana,Adilabad,2003,Adilabad2003,,,-
India,Telangana,Adilabad,2004,Adilabad2004,230,161790.0415709,-
India,Telangana,Adilabad,2005,Adilabad2005,368.75,187776.1779824,-
India,Telangana,Adilabad,2006,Adilabad2006,228.63637,208478.0615525,-
India,Telangana,Adilabad,2007,Adilabad2007,382.5,229693.2189788,-
India,Telangana,Adilabad,2008,Adilabad2008,462.08334,260994.8059207,-
India,Telangana,Adilabad,2009,Adilabad2009,364.75,261702.8578216,-
India,Telangana,Adilabad,2010,Adilabad2010,394.54544,307974.0313275,0.37
India,Telangana,Adilabad,2011,Adilabad2011,455.63635,325139.3400000,-
India,Telangana,Adilabad,2012,Adilabad2012,,334204.7200000,-
India,Telangana,Adilabad,2013,Adilabad2013,255,349592.6600000,-
India,Telangana,Adilabad,2014,Adilabad2014,336.36365,372896.7400000,-
India,Telangana,Adilabad,2015,Adilabad2015,362.5,416892.3724070,-
India,Telangana,Adilabad,2016,Adilabad2016,415.625,455731.0900000,-
India,Telangana,Adilabad,2017,Adilabad2017,342.91666,498145.4600000,-
India,Telangana,Adilabad,2018,Adilabad2018,387.5,544440.5948440,-
India,Uttar Pradesh,Agra,2000,Agra2000,1103.5,351084.1089774,-
India,Uttar Pradesh,Agra,2001,Agra2001,,357471.0467097,-
India,Uttar Pradesh,Agra,2002,Agra2002,,369038.1836814,-
India,Uttar Pradesh,Agra,2003,Agra2003,,388468.8674867,-
India,Uttar Pradesh,Agra,2004,Agra2004,760,407921.4919919,-
India,Uttar Pradesh,Agra,2005,Agra2005,458.57144,431731.0483276,-
India,Uttar Pradesh,Agra,2006,Agra2006,,466023.3283118,-
India,Uttar Pradesh,Agra,2007,Agra2007,,495889.8633084,-
