,year,state,nsdp
0,1999,Andhra Pradesh,157959.0282155
1,2000,Andhra Pradesh,171092.8680057
2,2001,Andhra Pradesh,178850.9966259
3,2002,Andhra Pradesh,182922.1475852
4,2003,Andhra Pradesh,200842.5423211
5,2004,Andhra Pradesh,215454.702683
6,2005,Andhra Pradesh,227456.6990491
7,2006,Andhra Pradesh,251347.1421205
8,2007,Andhra Pradesh,282692.2057365
9,2008,Andhra Pradesh,289918.0574615
10,2009,Andhra Pradesh,309549.0583031
11,2010,Andhra Pradesh,330209.0564638
12,2011,Andhra Pradesh,339995.524194
13,2012,Andhra Pradesh,341335.223157
14,2013,Andhra Pradesh,360239.225775
15,2014,Andhra Pradesh,397063.832491
16,2015,Andhra Pradesh,446996.86
17,2016,Andhra Pradesh,477565.55262
18,2017,Andhra Pradesh,526625.955496
19,2018,Andhra Pradesh,558861.685174
20,2019,Andhra Pradesh,595658.160297
21,2020,Andhra Pradesh,593868.879593
22,2021,Andhra Pradesh,661432.005732
23,1999,Arunachal Pradesh,4408.6501819
24,2000,Arunachal Pradesh,4732.5990931
25,2001,Arunachal Pradesh,5489.4615492
26,2002,Arunachal Pradesh,5227.3574301
27,2003,Arunachal Pradesh,5795.7405197
28,2004,Arunachal Pradesh,6543.7680055
29,2005,Arunachal Pradesh,6734.0710334
30,2006,Arunachal Pradesh,7098.0915163
31,2007,Arunachal Pradesh,7949.9495315
32,2008,Arunachal Pradesh,8603.642793
33,2009,Arunachal Pradesh,9317.6229699
34,2010,Arunachal Pradesh,9720.1720671
35,2011,Arunachal Pradesh,10229.46
36,2012,Arunachal Pradesh,10398.77
37,2013,Arunachal Pradesh,11226.44
38,2014,Arunachal Pradesh,13081.6
39,2015,Arunachal Pradesh,12889.06
40,2016,Arunachal Pradesh,13396.43
41,2017,Arunachal Pradesh,13922.63
42,2018,Arunachal Pradesh,14897.1
43,2019,Arunachal Pradesh,17090.94
44,2020,Arunachal Pradesh,16588.48
45,2021,Arunachal Pradesh,
46,1999,Assam,74435.9503949
47,2000,Assam,76319.4629319
48,2001,Assam,78289.0124612
49,2002,Assam,83032.6736654
50,2003,Assam,88141.4107563
51,2004,Assam,91168.9827601
52,2005,Assam,93914.5985394
53,2006,Assam,98155.9186976
54,2007,Assam,102351.8869595
55,2008,Assam,108448.3450808
56,2009,Assam,118440.3320592
57,2010,Assam,124268.408209
58,2011,Assam,129354.12
59,2012,Assam,132517.6
60,2013,Assam,138724.76
61,2014,Assam,146425.386988
62,2015,Assam,167628.66595
63,2016,Assam,179631.896487
64,2017,Assam,195262.282089
