country,state,district,year,dyid,hardnesstotal,nsdp,gini
,Andaman And Nicobar Islands,Nicobar,,,,,0.33
India,Andaman And Nicobar Islands,North And Middle Andaman,2010.0,North And Middle Andaman2010,,3138.7589504,0.3
India,Andaman And Nicobar Islands,South Andaman,2010.0,South Andaman2010,207.14285,3138.7589504,0.33
India,Andhra Pradesh,Anantapur,2010.0,Anantapur2010,389.69232,330209.0564638,0.27
India,Andhra Pradesh,Chittoor,2010.0,Chittoor2010,336.89191,330209.0564638,0.31
India,Andhra Pradesh,East Godavari,2010.0,East Godavari2010,468.75,330209.0564638,0.28
India,Andhra Pradesh,Guntur,2010.0,Guntur2010,430.92499,330209.0564638,0.33
India,Andhra Pradesh,Krishna,2010.0,Krishna2010,449.67999,330209.0564638,0.33
India,Andhra Pradesh,Kurnool,2010.0,Kurnool2010,448.375,330209.0564638,0.26
India,Andhra Pradesh,Prakasam,2010.0,Prakasam2010,368.25714,330209.0564638,0.24
India,Andhra Pradesh,Sri Potti Sriramulu Nellore,2010.0,Sri Potti Sriramulu Nellore2010,412.5,330209.0564638,0.27
India,Andhra Pradesh,Srikakulam,2010.0,Srikakulam2010,456.03845,330209.0564638,0.27
India,Andhra Pradesh,Visakhapatanam,2010.0,Visakhapatanam2010,294.86487,330209.0564638,0.42
,Andhra Pradesh,Visakhapatnam,,,,,0.42
India,Andhra Pradesh,Vizianagaram,2010.0,Vizianagaram2010,358.47827,330209.0564638,0.28
India,Andhra Pradesh,West Godavari,2010.0,West Godavari2010,465.88235,330209.0564638,0.26
India,Andhra Pradesh,Y.S.R.,2010.0,Y.S.R.2010,375.04544,330209.0564638,0.35
,Arunachal Pradesh,Anjaw,,,,,0.34
India,Arunachal Pradesh,Changlang,2010.0,Changlang2010,113.0,9720.1720671,0.3
,Arunachal Pradesh,Dibang Valley,,,,,0.34
,Arunachal Pradesh,East Kameng,,,,,0.29
India,Arunachal Pradesh,East Siang,2010.0,East Siang2010,82.0,9720.1720671,0.28
,Arunachal Pradesh,Kurung Kumey,,,,,0.23
India,Arunachal Pradesh,Lohit,2010.0,Lohit2010,50.0,9720.1720671,0.31
,Arunachal Pradesh,Lower Dibang Valley,,,,,0.25
India,Arunachal Pradesh,Lower Subansiri,2010.0,Lower Subansiri2010,,9720.1720671,0.33
India,Arunachal Pradesh,Papum Pare,2010.0,Papum Pare2010,,9720.1720671,0.3
,Arunachal Pradesh,Tawang,,,,,0.37
India,Arunachal Pradesh,Tirap,2010.0,Tirap2010,82.0,9720.1720671,0.22
,Arunachal Pradesh,Upper Siang,,,,,0.34
,Arunachal Pradesh,Upper Subansiri,,,,,0.29
,Arunachal Pradesh,West Kameng,,,,,0.23
,Arunachal Pradesh,West Siang,,,,,0.31
India,Assam,Baksa,2010.0,Baksa2010,,124268.408209,0.2
